nom_fr,year,month,date,P,NDVI,LST,ET_PET,P_mean,P_sd,NDVI_mean,NDVI_sd,NDVI_min,NDVI_max,LST_mean,LST_sd,LST_min,LST_max,Z_P,Z_NDVI,Z_LST,VCI,TCI,PC1_raw,CDAI,Severite
l'Oriental,2000,5,2000-05,31.0126664990788,0.14147035975865885,38.89684916904089,0,22.257154812483023,9.689041774895584,0.17233826447425052,0.01797329152779482,0.13701059691920753,0.2077397890130435,37.02220418029234,2.471745512799086,31.75181164735827,42.13028143419498,0.9036509378338532,-1.7174319276942656,-0.7584296113986426,6.30451480635433,31.15516271713639,-0.7253596074469179,-0.5784084770443557,Anormalement sec
Béni Mellal-Khénifra,2000,5,2000-05,40.139442339184875,0.2756037796959719,35.967400278002685,0,31.46121691312578,20.05854695673136,0.30012137482123347,0.03035864012585758,0.2501515290136224,0.3834054754721371,34.606404626445226,2.84489459252722,28.043258802144617,38.76630232025299,0.4326447695727434,-0.8075985954449599,-0.4783993245768867,19.099127227387637,26.10172594516764,-0.41409422320766676,-0.3302025733710846,Normal
Casablanca-Settat,2000,5,2000-05,10.888281821279469,0.2438202117332269,40.2344940155902,0,13.448865171913438,10.79881977797091,0.27031233586533576,0.02698479080238974,0.23509665607563585,0.3316774824915264,37.64737784223405,2.8549006070046907,32.45491808007863,43.371044826810135,-0.2371169630830806,-0.9817428019402228,-0.9062018365923098,9.031453587559234,28.733157929329487,-1.1969025117793437,-0.9544211614506215,Sécheresse modérée
Rabat-Salé-Kénitra,2000,5,2000-05,27.335056591616393,0.3244063391442157,37.058669372965,0,24.01668216339041,15.414765835942552,0.353453474885689,0.04099405229565434,0.28911135959056516,0.45932856137387446,35.11442208513144,2.6588784457174643,29.651182274201823,39.405281701049766,0.21527245133289935,-0.70856951471842,-0.7312283459084313,20.734042023776706,24.05767892685082,-0.6672555339490812,-0.5320757500536039,Anormalement sec
Fès-Meknès,2000,6,2000-06,6.267054987973078,0.21338869188133916,41.59044796343015,0,9.612113422459052,4.8091557393189905,0.24306763708460777,0.01833632413021838,0.21338869188133916,0.2854328994255446,39.093247192714344,1.6890652189654447,36.1498579999622,42.112547576682495,-0.6955604301056921,-1.6185875092793267,-1.4784513603597538,0,8.756094559765128,-2.157271045093791,-1.7202279351568368,Sécheresse extrême
Guelmim-Oued Noun,2000,6,2000-06,0.05867104764863677,0.11454190885162877,44.044142559768765,0,0.3608873218814508,0.4447225317293458,0.13490418842262117,0.01434027083935801,0.11168301851565132,0.1668131576790317,41.324717602646786,1.947497252328274,36.44027469811532,44.801732380942866,-0.6795614178971714,-1.4199368895534743,-1.396369085435602,5.184771709600773,9.060488539948658,-2.0002561713657396,-1.5950228188890412,Sécheresse sévère
Laâyoune-Sakia El Hamra,2000,6,2000-06,0.01716797255657935,0.1050337717673212,40.30107685968563,0,0.2694632248159171,0.3829260689730705,0.11359959867614788,0.00973209229418239,0.10086037884401632,0.14393290107447204,39.8281577872034,1.8698287449117237,35.48211817741443,42.74379911454248,-0.6588615210657819,-0.8801629341253888,-0.252921062300042,9.6869744556289,33.63847726384968,-0.9991205400855202,-0.7967079832424924,Anormalement sec
Souss-Massa,2000,6,2000-06,1.7829502115669056,0.16143099063270158,44.629763831624544,0,2.1772649178362227,1.959284409610976,0.17489582267989218,0.01739350534001681,0.15103952263316808,0.2184946580934524,44.19683774693854,1.2262628618074936,40.46109863662471,45.7095784295696,-0.20125445000994516,-0.7741298711199048,-0.3530450918556529,15.402723093398066,20.573815336300445,-0.7215374306317895,-0.5753606378099462,Anormalement sec
Dakhla-Oued Ed-Dahab,2000,6,2000-06,0.03243550291866022,0.06493664596273294,40.81881120806631,0,0.3869526980713705,0.6723432769584707,0.0932061514572384,0.03387740998277579,0.00892919254658385,0.153227950310559,40.20281098926717,2.3035676566208725,35.45572395419066,43.33553975555302,-0.5272859970526753,-0.8344647807751088,-0.26741138556475214,38.81084854721868,31.93888559124735,-0.902936694499579,-0.7200100928851154,Anormalement sec
Tanger-Tétouan-Al Hoceima,2000,6,2000-06,3.34092848846278,0.3922519027531192,35.600436458983616,0,5.191925383171835,3.4086310077753392,0.3933571944387479,0.02444040569737087,0.33484325517909874,0.44455375916416834,35.17935962843084,1.3545469644642256,32.64158334373824,38.85954828318139,-0.543032346559893,-0.04522395001600272,-0.3108617431506553,52.32262475009453,52.414360880162114,-0.5660968372125943,-0.45141086725831375,Normal
Drâa-Tafilalet,2000,6,2000-06,5.275285909485571,0.13621811630513603,44.690567167648105,0,5.5933576355686485,3.2915321871872507,0.14770125911433898,0.00921784918441272,0.12793325003846062,0.16449311421727017,44.979537599351424,1.505157147530775,41.26232464041788,47.67967723440489,-0.09663333304812163,-1.245750779761164,0.1919868846767117,22.654900292126545,46.57848178249341,-0.5300453244839954,-0.42266305671246657,Normal
Marrakech-Safi,2000,6,2000-06,3.167040024459116,0.17676375143156317,42.51681986695567,0,3.370572893999113,2.591529859124305,0.18862189664490964,0.01466689203765469,0.16413488115882688,0.21958718850242284,40.78747621142095,1.474646570946053,37.24078552386652,43.65299240814493,-0.07853772891074157,-0.8084974773730348,-1.1727173748658075,22.770185514459133,17.718872609798165,-1.1842546067227646,-0.9443356046778549,Sécheresse modérée
l'Oriental,2000,6,2000-06,6.008741094074346,0.13518236860881905,43.780050025868725,0,7.08540612368128,2.8621728514839684,0.15558312227914853,0.01207053626817067,0.1346702768210855,0.1797867993728928,42.26068320597437,1.7715543074295663,37.77599889536957,45.11080256722886,-0.3761705129194796,-1.6901281945629147,-0.8576462000190561,1.1347911577844998,18.142963146639875,-1.5906392190244374,-1.2683904628233342,Sécheresse modérée
Béni Mellal-Khénifra,2000,6,2000-06,5.9293512843971605,0.2312707838145479,42.694612033543656,0,8.70993241441487,4.774388167067606,0.2561794275866907,0.01976331257444042,0.21978786703058645,0.3074669921851094,39.84227762019859,1.7351216023072105,35.996293491377365,43.39030720821181,-0.5823952792940844,-1.2603476101651476,-1.6438815640081297,13.095029473411476,9.408884814424104,-2.02102697758257,-1.611585652368488,Sécheresse extrême
Casablanca-Settat,2000,6,2000-06,0.15369911930324004,0.21685372072913564,43.04074556539887,0,1.7035432634330203,1.5619947201830349,0.2352525095926968,0.01466810237567479,0.21048438675435108,0.2720399878450201,41.44341005286428,1.5674015600341638,38.13303302166666,43.9527769298443,-0.992221115797478,-1.2543400906495743,-1.019097819769795,10.345605113810722,15.671304643378194,-1.879263405911141,-1.4985420657818995,Sécheresse sévère
Rabat-Salé-Kénitra,2000,6,2000-06,1.3732536399520905,0.2516196520361087,42.76984117582741,0,3.935765832785659,2.531485189543595,0.2869178136929839,0.02629365620961331,0.24939462395619097,0.35211784682868336,40.10148685629919,2.0146134270607465,35.40847633279884,43.856966348957634,-1.0122564427467846,-1.3424592371436626,-1.3244994219170172,2.165831089207946,12.86767084158093,-2.1292829077355795,-1.6979099349008657,Sécheresse extrême
Fès-Meknès,2000,7,2000-07,0.17221868697656256,0.19978764529665197,43.94460825257713,0,2.011808998700835,1.369767473349977,0.2214192368063562,0.01331093465692328,0.1974751584238394,0.2460732199757657,41.54305936325047,1.591970002352433,38.10120179571907,44.816261173351606,-1.3429945939840957,-1.625099368845088,-1.5085390338875262,4.757414303267834,12.98054974201596,-2.5917808578549253,-2.0667100889461736,Sécheresse exceptionnelle
Guelmim-Oued Noun,2000,7,2000-07,0,0.115421241541362,43.56186687527274,0,0.17453330317722293,0.2834044439898275,0.12880709784732516,0.01090972243841863,0.11170128097705802,0.15209311378063553,42.69070372141098,2.2797800814758946,38.58901547995516,46.91656211643069,-0.6158453294525178,-1.226965798765403,-0.3821259607188868,9.207405471898769,40.28426809448581,-1.2190512639526332,-0.9720827818130743,Sécheresse modérée
Laâyoune-Sakia El Hamra,2000,7,2000-07,0.03109104058123762,0.10644912467580588,40.421062835884904,0,0.08753454485793617,0.14470664845609962,0.11173354126884602,0.0077440656259588,0.1034991432011856,0.13781966469062618,39.59726191664897,1.9001817040928957,36.17017997754194,43.36080045520305,-0.3900546718406107,-0.6823827235304293,-0.4335379703222644,8.592882795350594,40.882890985024616,-0.8496848200949091,-0.6775465544444027,Anormalement sec
Souss-Massa,2000,7,2000-07,0,0.15709410898143436,46.63700591355177,0,0.2034918760075974,0.2706752495034682,0.1640255062995521,0.01504289270312121,0.1400071853428638,0.1975509016900852,45.023317612921026,1.3848863076867768,42.1431644626615,47.14716393088275,-0.7517934365291498,-0.46077556058613145,-1.1652135570075357,29.68865387507767,10.194985052902462,-1.4429850640292792,-1.1506496704725957,Sécheresse modérée
