"Region","Date","NDVI_median","NDWI_median","NDDI_median"
"Casablanca-Settat",2024-07-03,0.201873374048745,-0.190656881135938,-2.42480544525868
"Rabat-Salé-Kénitra",2024-07-03,0.232966613932316,-0.122907662484203,2.89792645622408
"Fès-Meknès",2024-07-11,0.16461368695505,-0.107514393074872,1.65896801619879
"Guelmim-Oued Noun",2024-07-11,0.0973934709923736,-0.126879721946399,-3.37292270685717
"Laâyoune-Sakia El Hamra",2024-07-11,0.0890182712583033,-0.117094209257368,-5.33655950734243
"Souss-Massa",2024-07-11,0.0977580143469148,-0.121440662983271,-2.92071349466592
"Dakhla-Oued Ed-Dahab",2024-07-11,0.0817691082156889,-0.104459807014138,-6.21845119325361
"Tanger-Tétouan-Al Hoceima",2024-07-11,0.321105435570912,-0.0299040354894583,1.18123400722138
"Drâa-Tafilalet",2024-07-11,0.0972828866555336,-0.126110483067078,-3.68104260473265
"Marrakech-Safi",2024-07-11,0.145788858586096,-0.11074315213243,2.20135901835161
"l'Oriental",2024-07-11,0.111669305935397,-0.123840376705016,-9.65114969159659
"Béni Mellal-Khénifra",2024-07-11,0.170787240971005,-0.099428977290601,1.91425678055554
"Casablanca-Settat",2024-07-11,0.19438199186782,-0.184365540195757,-2.42912285712852
"Rabat-Salé-Kénitra",2024-07-11,0.222195564621023,-0.121775463493004,3.00343356995391
"Fès-Meknès",2024-07-19,0.166810403890164,-0.114560184248198,1.62863558755709
"Guelmim-Oued Noun",2024-07-19,0.0918261974396578,-0.126256234786888,-4.21506189828241
"Laâyoune-Sakia El Hamra",2024-07-19,0.0865589243165929,-0.120261572349587,-4.89418885859161
"Souss-Massa",2024-07-19,0.0905018210887159,-0.119601175402204,-3.28609313503118
"Dakhla-Oued Ed-Dahab",2024-07-19,0.0831993033780395,-0.109658044066832,-5.79253918657701
"Tanger-Tétouan-Al Hoceima",2024-07-19,0.325819862107774,-0.0375661301530269,1.22527433535157
"Drâa-Tafilalet",2024-07-19,0.0968733365120012,-0.129211965096506,-3.84891925553728
"Marrakech-Safi",2024-07-19,0.14499045760979,-0.115803017702806,1.61270482941304
"l'Oriental",2024-07-19,0.119184592153781,-0.13057757766342,-10.2890239405225
"Béni Mellal-Khénifra",2024-07-19,0.180791410436309,-0.111996927681857,1.88474515813329
"Casablanca-Settat",2024-07-19,0.196575674839326,-0.191266744450342,-4.18759160294544
"Rabat-Salé-Kénitra",2024-07-19,0.2301788916399,-0.130037999838425,2.99192735614294
"Fès-Meknès",2024-07-27,0.165629699203619,-0.115965400333839,1.50413774895388
"Guelmim-Oued Noun",2024-07-27,0.100563985731126,-0.129743491781297,-3.6815181883137
"Laâyoune-Sakia El Hamra",2024-07-27,0.0931143243814917,-0.123238627060064,-4.84998267559346
"Souss-Massa",2024-07-27,0.100492445984515,-0.121794221515268,-3.05398651929452
"Dakhla-Oued Ed-Dahab",2024-07-27,0.0867268496979863,-0.110835571132756,-5.90228070506442
"Tanger-Tétouan-Al Hoceima",2024-07-27,0.321261369321938,-0.0285035132974906,1.15361663186244
"Drâa-Tafilalet",2024-07-27,0.103015682332266,-0.131855772683109,-3.67645954064746
"Marrakech-Safi",2024-07-27,0.142493812111824,-0.109496698642578,1.61994387459544
"l'Oriental",2024-07-27,0.118239478102102,-0.127243053840155,-6.70563365608459
"Béni Mellal-Khénifra",2024-07-27,0.176250892487989,-0.0998283261163989,1.80184162971888
"Casablanca-Settat",2024-07-27,0.18902687280172,-0.181991751286887,-3.50414314392912
"Rabat-Salé-Kénitra",2024-07-27,0.222582436919158,-0.123431530313434,2.85113883236053
"Fès-Meknès",2024-08-04,0.164726412933241,-0.116392679080603,1.63889113149004
"Guelmim-Oued Noun",2024-08-04,0.0987788074740518,-0.128743142919904,-3.75547743733146
"Laâyoune-Sakia El Hamra",2024-08-04,0.0904112783723235,-0.122303858476883,-4.82662140007115
"Souss-Massa",2024-08-04,0.0979789031043699,-0.124427873535756,-3.02613650200229
"Dakhla-Oued Ed-Dahab",2024-08-04,0.0822391406901863,-0.110469604175107,-5.68371345798532
"Tanger-Tétouan-Al Hoceima",2024-08-04,0.322990843009313,-0.0354350486925457,1.21154513031081
"Drâa-Tafilalet",2024-08-04,0.100313600612685,-0.127819769760932,-3.59949104019027
"Marrakech-Safi",2024-08-04,0.144701065307833,-0.112778253017803,1.90211504410174
"l'Oriental",2024-08-04,0.119759324863327,-0.129073842338839,-8.12860581778132
"Béni Mellal-Khénifra",2024-08-04,0.177735304307885,-0.112514851986475,1.79977846879221
"Casablanca-Settat",2024-08-04,0.192232871700592,-0.18898871815014,-4.60236925541995
"Rabat-Salé-Kénitra",2024-08-04,0.224218856603419,-0.12804388591737,2.93914576846569
"Fès-Meknès",2024-08-12,0.165076069587167,-0.120904870728048,1.63473726407456
"Guelmim-Oued Noun",2024-08-12,0.0994026524700609,-0.132777962191962,-3.91146593905884
"Laâyoune-Sakia El Hamra",2024-08-12,0.092576484842024,-0.122593032847426,-4.45040535276394
"Souss-Massa",2024-08-12,0.0964486349144992,-0.118912492982936,-3.14773827397552
"Dakhla-Oued Ed-Dahab",2024-08-12,0.0866881330637304,-0.109415769731329,-5.89448243714386
"Tanger-Tétouan-Al Hoceima",2024-08-12,0.320173657085531,-0.0463552115803279,1.26772925349191
"Drâa-Tafilalet",2024-08-12,0.100803235448655,-0.131837956945749,-3.65836721162981
"Marrakech-Safi",2024-08-12,0.138965587645364,-0.108061319771949,1.52907378407763
"l'Oriental",2024-08-12,0.115054823989978,-0.127090463436926,-10.1145399926672
"Béni Mellal-Khénifra",2024-08-12,0.169078041297179,-0.106878533305603,1.78594295002876
"Casablanca-Settat",2024-08-12,0.177474663571201,-0.183129747114977,-5.7533598155495
"Rabat-Salé-Kénitra",2024-08-12,0.214542402002375,-0.129334836265504,2.95394687085557
"Fès-Meknès",2024-08-20,0.162573138318137,-0.115914377822493,1.59564520652096
"Guelmim-Oued Noun",2024-08-20,0.0849330932345217,-0.109878668587428,-4.0393837742226
"Laâyoune-Sakia El Hamra",2024-08-20,0.0908850879438087,-0.126300657188198,-5.25210073697728
"Souss-Massa",2024-08-20,0.0939208831705946,-0.109369331482766,-3.18874240606606
"Dakhla-Oued Ed-Dahab",2024-08-20,0.0833972648519452,-0.113926540833523,-5.47595894337616
"Tanger-Tétouan-Al Hoceima",2024-08-20,0.301132015744518,-0.0284663696843697,1.16181552694949
"Drâa-Tafilalet",2024-08-20,0.0996167744435269,-0.131679228898926,-3.65227541180854
"Marrakech-Safi",2024-08-20,0.136428201181109,-0.109045137502791,1.51700959558459
"l'Oriental",2024-08-20,0.118282601582844,-0.133951129478935,-10.0770852962762
"Béni Mellal-Khénifra",2024-08-20,0.173728818008828,-0.109620493425604,1.70129588485431
"Casablanca-Settat",2024-08-20,0.16860996083721,-0.177174570526337,-5.66693746667292
"Rabat-Salé-Kénitra",2024-08-20,0.201486771878115,-0.115322976739027,2.82771072658362
"Fès-Meknès",2024-08-28,0.169730167552207,-0.117387628322835,1.71729016593068
"Guelmim-Oued Noun",2024-08-28,0.0990114205912685,-0.130453931406283,-3.69799755789629
"Laâyoune-Sakia El Hamra",2024-08-28,0.0921491859865669,-0.122091726415542,-4.50598410882662
"Souss-Massa",2024-08-28,0.100646532844385,-0.131348506039196,-3.11084116359935
"Dakhla-Oued Ed-Dahab",2024-08-28,0.084346193812575,-0.111153304684695,-5.63897428203096
"Tanger-Tétouan-Al Hoceima",2024-08-28,0.325704039142242,-0.0364539380857548,1.18300702554372
"Drâa-Tafilalet",2024-08-28,0.0948678551282637,-0.124085653723451,-3.71404758795499
"Marrakech-Safi",2024-08-28,0.138195903773017,-0.116548998328472,1.33967963307363
"l'Oriental",2024-08-28,0.112601692597925,-0.125662290937094,-9.8098551366421
"Béni Mellal-Khénifra",2024-08-28,0.178731185166406,-0.115904684415992,1.72717127442971
"Casablanca-Settat",2024-08-28,0.189083422658522,-0.19131930315389,-5.58486124860298
"Rabat-Salé-Kénitra",2024-08-28,0.222885748155622,-0.131094118064666,2.77127223082387
"Fès-Meknès",2024-09-05,0.169704412051372,-0.124779318575597,1.56721642608931
"Guelmim-Oued Noun",2024-09-05,0.100261807790292,-0.127967400326395,-3.51340286530862
"Laâyoune-Sakia El Hamra",2024-09-05,0.0926017813961293,-0.121684299653455,-4.00632055022673
