nom_fr,year,month,date,NDDI_median,nom_affich
Marrakech-Safi,2000,8,2000-08-12,5.436629106998405,Marrakech-Safi
l'Oriental,2000,8,2000-08-12,4.296471823771452,L'Oriental
Béni Mellal-Khénifra,2000,8,2000-08-12,1.0633504467417887,Béni Mellal-Khénifra
Casablanca-Settat,2000,8,2000-08-12,7.232598860761314,Casablanca-Settat
Rabat-Salé-Kénitra,2000,8,2000-08-12,3.4592300834854233,Rabat-Salé-Kénitra
Fès-Meknès,2000,8,2000-08-20,4.402313174376115,Fès-Meknès
Guelmim-Oued Noun,2000,8,2000-08-20,-7.505193830696824,Guelmim-Oued Noun
Laâyoune-Sakia El Hamra,2000,8,2000-08-20,-6.994221469791315,Laâyoune-Sakia El Hamra
Souss-Massa,2000,8,2000-08-20,6.882340345503032,Souss-Massa
Dakhla-Oued Ed-Dahab,2000,8,2000-08-20,-7.617843048883116,Dakhla-Oued Ed-Dahab
Tanger-Tétouan-Al Hoceima,2000,8,2000-08-20,2.8587552180587075,Tanger-Tétouan-Al Hoceima
Drâa-Tafilalet,2000,8,2000-08-20,-6.215899635191179,Drâa-Tafilalet
Marrakech-Safi,2000,8,2000-08-20,7.933608430301071,Marrakech-Safi
l'Oriental,2000,8,2000-08-20,5.963054038917717,L'Oriental
Béni Mellal-Khénifra,2000,8,2000-08-20,1.410085680620258,Béni Mellal-Khénifra
Casablanca-Settat,2000,8,2000-08-20,6.082788204430343,Casablanca-Settat
Rabat-Salé-Kénitra,2000,8,2000-08-20,5.406408848460686,Rabat-Salé-Kénitra
Fès-Meknès,2000,8,2000-08-28,4.943607925439985,Fès-Meknès
Guelmim-Oued Noun,2000,8,2000-08-28,-11.86483167013752,Guelmim-Oued Noun
Laâyoune-Sakia El Hamra,2000,8,2000-08-28,-6.961629890563971,Laâyoune-Sakia El Hamra
Souss-Massa,2000,8,2000-08-28,10.155060083272776,Souss-Massa
Dakhla-Oued Ed-Dahab,2000,8,2000-08-28,7.178077298094921,Dakhla-Oued Ed-Dahab
Tanger-Tétouan-Al Hoceima,2000,8,2000-08-28,2.8017857396610215,Tanger-Tétouan-Al Hoceima
Drâa-Tafilalet,2000,8,2000-08-28,4.387211545959879,Drâa-Tafilalet
Marrakech-Safi,2000,8,2000-08-28,7.9044655977552,Marrakech-Safi
l'Oriental,2000,8,2000-08-28,5.504422872308698,L'Oriental
Béni Mellal-Khénifra,2000,8,2000-08-28,1.3914072185209954,Béni Mellal-Khénifra
Casablanca-Settat,2000,8,2000-08-28,7.183657708852782,Casablanca-Settat
Rabat-Salé-Kénitra,2000,8,2000-08-28,5.141689093098695,Rabat-Salé-Kénitra
Fès-Meknès,2000,9,2000-09-05,5.290925387578525,Fès-Meknès
Guelmim-Oued Noun,2000,9,2000-09-05,-7.491221864961791,Guelmim-Oued Noun
